wkt_geom,id,left,top,right,bottom,row_index,col_index
"Polygon ((70.0000000000322018 5.58637819992733142, 75.0000000000322018 5.58637819992733142, 75.0000000000322018 0.58637819992733142, 70.0000000000322018 0.58637819992733142, 70.0000000000322018 5.58637819992733142))",17,70,5.5863782,75,0.5863781999,4,2
"Polygon ((70.0000000000322018 0.58637819992733142, 75.0000000000322018 0.58637819992733142, 75.0000000000322018 -4.41362180007266858, 70.0000000000322018 -4.41362180007266858, 70.0000000000322018 0.58637819992733142))",18,70,0.5863781999,75,-4.4136218,5,2
"Polygon ((75.0000000000322018 25.58637819992733142, 80.0000000000322018 25.58637819992733142, 80.0000000000322018 20.58637819992733142, 75.0000000000322018 20.58637819992733142, 75.0000000000322018 25.58637819992733142))",19,75,25.5863782,80,20.5863782,0,3
"Polygon ((75.0000000000322018 20.58637819992733142, 80.0000000000322018 20.58637819992733142, 80.0000000000322018 15.58637819992733142, 75.0000000000322018 15.58637819992733142, 75.0000000000322018 20.58637819992733142))",20,75,20.5863782,80,15.5863782,1,3
"Polygon ((75.0000000000322018 15.58637819992733142, 80.0000000000322018 15.58637819992733142, 80.0000000000322018 10.58637819992733142, 75.0000000000322018 10.58637819992733142, 75.0000000000322018 15.58637819992733142))",21,75,15.5863782,80,10.5863782,2,3
"Polygon ((75.0000000000322018 10.58637819992733142, 80.0000000000322018 10.58637819992733142, 80.0000000000322018 5.58637819992733142, 75.0000000000322018 5.58637819992733142, 75.0000000000322018 10.58637819992733142))",22,75,10.5863782,80,5.5863782,3,3
"Polygon ((75.0000000000322018 5.58637819992733142, 80.0000000000322018 5.58637819992733142, 80.0000000000322018 0.58637819992733142, 75.0000000000322018 0.58637819992733142, 75.0000000000322018 5.58637819992733142))",23,75,5.5863782,80,0.5863781999,4,3
"Polygon ((75.0000000000322018 0.58637819992733142, 80.0000000000322018 0.58637819992733142, 80.0000000000322018 -4.41362180007266858, 75.0000000000322018 -4.41362180007266858, 75.0000000000322018 0.58637819992733142))",24,75,0.5863781999,80,-4.4136218,5,3
"Polygon ((80.0000000000322018 25.58637819992733142, 85.0000000000322018 25.58637819992733142, 85.0000000000322018 20.58637819992733142, 80.0000000000322018 20.58637819992733142, 80.0000000000322018 25.58637819992733142))",25,80,25.5863782,85,20.5863782,0,4
"Polygon ((80.0000000000322018 20.58637819992733142, 85.0000000000322018 20.58637819992733142, 85.0000000000322018 15.58637819992733142, 80.0000000000322018 15.58637819992733142, 80.0000000000322018 20.58637819992733142))",26,80,20.5863782,85,15.5863782,1,4
"Polygon ((80.0000000000322018 15.58637819992733142, 85.0000000000322018 15.58637819992733142, 85.0000000000322018 10.58637819992733142, 80.0000000000322018 10.58637819992733142, 80.0000000000322018 15.58637819992733142))",27,80,15.5863782,85,10.5863782,2,4
"Polygon ((80.0000000000322018 10.58637819992733142, 85.0000000000322018 10.58637819992733142, 85.0000000000322018 5.58637819992733142, 80.0000000000322018 5.58637819992733142, 80.0000000000322018 10.58637819992733142))",28,80,10.5863782,85,5.5863782,3,4
"Polygon ((80.0000000000322018 5.58637819992733142, 85.0000000000322018 5.58637819992733142, 85.0000000000322018 0.58637819992733142, 80.0000000000322018 0.58637819992733142, 80.0000000000322018 5.58637819992733142))",29,80,5.5863782,85,0.5863781999,4,4
"Polygon ((80.0000000000322018 0.58637819992733142, 85.0000000000322018 0.58637819992733142, 85.0000000000322018 -4.41362180007266858, 80.0000000000322018 -4.41362180007266858, 80.0000000000322018 0.58637819992733142))",30,80,0.5863781999,85,-4.4136218,5,4
"Polygon ((85.0000000000322018 25.58637819992733142, 90.0000000000322018 25.58637819992733142, 90.0000000000322018 20.58637819992733142, 85.0000000000322018 20.58637819992733142, 85.0000000000322018 25.58637819992733142))",31,85,25.5863782,90,20.5863782,0,5
"Polygon ((85.0000000000322018 20.58637819992733142, 90.0000000000322018 20.58637819992733142, 90.0000000000322018 15.58637819992733142, 85.0000000000322018 15.58637819992733142, 85.0000000000322018 20.58637819992733142))",32,85,20.5863782,90,15.5863782,1,5
"Polygon ((85.0000000000322018 15.58637819992733142, 90.0000000000322018 15.58637819992733142, 90.0000000000322018 10.58637819992733142, 85.0000000000322018 10.58637819992733142, 85.0000000000322018 15.58637819992733142))",33,85,15.5863782,90,10.5863782,2,5
"Polygon ((85.0000000000322018 10.58637819992733142, 90.0000000000322018 10.58637819992733142, 90.0000000000322018 5.58637819992733142, 85.0000000000322018 5.58637819992733142, 85.0000000000322018 10.58637819992733142))",34,85,10.5863782,90,5.5863782,3,5
"Polygon ((85.0000000000322018 5.58637819992733142, 90.0000000000322018 5.58637819992733142, 90.0000000000322018 0.58637819992733142, 85.0000000000322018 0.58637819992733142, 85.0000000000322018 5.58637819992733142))",35,85,5.5863782,90,0.5863781999,4,5
